guid,zip_code,housing_median_age,total_rooms,total_bedrooms,population,households,median_house_value
CB3A3480-0734-76BF-6F0D-95D696C9726C,85212,16,2276,594,118400,513,93800
4186C497-94C0-A1A2-384E-AE1710FC776D,85213,34,1152,208,62100,208,73600
20813D1A-8832-7D94-4720-2FA540D705BB,85214,20,1534,235,87100,222,97200
55EBCA62-075E-2619-0AA2-A56355BA1960,85215,15,1413,279,80300,277,87500
E7AC6E38-29E4-9DDA-0C4E-BE1197E7599A,85216,21,1161,282,72400,186,71700
9F776F83-255C-8B09-119B-064389FC990A,85217,5,805,143,45800,143,96300
581D1698-95A2-1A96-A5CF-288139BE8313,85218,TSHC,1088,203,53300,201,87500
6F802DDE-5083-9AB3-03B6-4EAB4B7A64E4,85219,14,1687,507,76200,451,64400
71365DA5-2BC9-9E3C-05A9-62AEBB832988,85220,5,2494,414,141600,421,110100
4183EDA7-24B0-0971-026B-FC8830AD0E99,85221,20,1608,274,86200,248,90800
